,SSO 01 09,PLSD 01 09,No Spill 01 09,SSO 02 09,PLSD 02 09,No Spill 02 09,SSO 03 09,PLSD 03 09,No Spill 03 09,SSO 04 09,PLSD 04 09,No Spill 04 09,SSO 05 09,PLSD 05 09,No Spill 05 09,SSO 06 09,PLSD 06 09,No Spill 06 09,SSO 07 09,PLSD 07 09,No Spill 07 09,SSO 08 09,PLSD 08 09,No Spill 08 09,SSO 09 09,PLSD 09 09,No Spill 09 09,SSO 10 09,PLSD 10 09,No Spill 10 09,SSO 11 09,PLSD 11 09,No Spill 11 09,SSO 12 09,PLSD 12 09,No Spill 12 09,SSO 01 10,PLSD 01 10,No Spill 01 10,SSO 02 10,PLSD 02 10,No Spill 02 10,SSO 03 10,PLSD 03 10,No Spill 03 10,SSO 04 10,PLSD 04 10,No Spill 04 10,SSO 05 10,PLSD 05 10,No Spill 05 10,SSO 06 10,PLSD 06 10,No Spill 06 10,SSO 07 10,PLSD 07 10,No Spill 07 10,SSO 08 10,PLSD 08 10,No Spill 08 10,SSO 09 10,PLSD 09 10,No Spill 09 10,SSO 10 10,PLSD 10 10,No Spill 10 10,SSO 11 10,PLSD 11 10,No Spill 11 10,SSO 12 10,PLSD 12 10,No Spill 12 10,SSO 01 11,PLSD 01 11,No Spill 01 11,SSO 02 11,PLSD 02 11,No Spill 02 11,SSO 03 11,PLSD 03 11,No Spill 03 11,SSO 04 11,PLSD 04 11,No Spill 04 11,SSO 05 11,PLSD 05 11,No Spill 05 11,SSO 06 11,PLSD 06 11,No Spill 06 11,SSO 07 11,PLSD 07 11,No Spill 07 11,SSO 08 11,PLSD 08 11,No Spill 08 11,SSO 09 11,PLSD 09 11,No Spill 09 11,SSO 10 11,PLSD 10 11,No Spill 10 11,SSO 11 11,PLSD 11 11,No Spill 11 11,SSO 12 11,PLSD 12 11,No Spill 12 11,SSO 01 12,PLSD 01 12,No Spill 01 12,SSO 02 12,PLSD 02 12,No Spill 02 12,SSO 03 12,PLSD 03 12,No Spill 03 12,SSO 04 12,PLSD 04 12,No Spill 04 12,SSO 05 12,PLSD 05 12,No Spill 05 12,SSO 06 12,PLSD 06 12,No Spill 06 12,SSO 07 12,PLSD 07 12,No Spill 07 12,SSO 08 12,PLSD 08 12,No Spill 08 12,SSO 09 12,PLSD 09 12,No Spill 09 12,SSO 10 12,PLSD 10 12,No Spill 10 12,SSO 11 12,PLSD 11 12,No Spill 11 12,SSO 12 12,PLSD 12 12,No Spill 12 12,SSO 01 13,PLSD 01 13,No Spill 01 13,SSO 02 13,PLSD 02 13,No Spill 02 13,SSO 03 13,PLSD 03 13,No Spill 03 13,SSO 04 13,PLSD 04 13,No Spill 04 13,SSO 05 13,PLSD 05 13,No Spill 05 13,SSO 06 13,PLSD 06 13,No Spill 06 13,SSO 07 13,PLSD 07 13,No Spill 07 13,SSO 08 13,PLSD 08 13,No Spill 08 13,SSO 09 13,PLSD 09 13,No Spill 09 13,SSO 10 13,PLSD 10 13,No Spill 10 13,SSO 11 13,PLSD 11 13,No Spill 11 13,SSO 12 13,PLSD 12 13,No Spill 12 13,SSO 01 14,PLSD 01 14,No Spill 01 14,SSO 02 14,PLSD 02 14,No Spill 02 14,SSO 03 14,PLSD 03 14,No Spill 03 14,SSO 04 14,PLSD 04 14,No Spill 04 14,SSO 05 14,PLSD 05 14,No Spill 05 14,SSO 06 14,PLSD 06 14,No Spill 06 14,SSO 07 14,PLSD 07 14,No Spill 07 14,SSO 08 14,PLSD 08 14,No Spill 08 14,SSO 09 14,PLSD 09 14,No Spill 09 14,SSO 10 14,PLSD 10 14,No Spill 10 14,SSO 11 14,PLSD 11 14,No Spill 11 14,SSO 12 14,PLSD 12 14,No Spill 12 14,SSO 01 15,PLSD 01 15,No Spill 01 15,SSO 02 15,PLSD 02 15,No Spill 02 15,SSO 03 15,PLSD 03 15,No Spill 03 15,SSO 04 15,PLSD 04 15,No Spill 04 15,SSO 05 15,PLSD 05 15,No Spill 05 15,SSO 06 15,PLSD 06 15,No Spill 06 15,SSO 07 15,PLSD 07 15,No Spill 07 15,SSO 08 15,PLSD 08 15,No Spill 08 15,SSO 09 15,PLSD 09 15,No Spill 09 15,SSO 10 15,PLSD 10 15,No Spill 10 15,SSO 11 15,PLSD 11 15,No Spill 11 15,SSO 12 15,PLSD 12 15,No Spill 12 15,SSO 01 16,PLSD 01 16,No Spill 01 16,SSO 02 16,PLSD 02 16,No Spill 02 16,SSO 03 16,PLSD 03 16,No Spill 03 16,SSO 04 16,PLSD 04 16,No Spill 04 16,SSO 05 16,PLSD 05 16,No Spill 05 16,SSO 06 16,PLSD 06 16,No Spill 06 16,SSO 07 16,PLSD 07 16,No Spill 07 16,SSO 08 16,PLSD 08 16,No Spill 08 16,SSO 09 16,PLSD 09 16,No Spill 09 16,SSO 10 16,PLSD 10 16,No Spill 10 16,SSO 11 16,PLSD 11 16,No Spill 11 16,SSO 12 16,PLSD 12 16,No Spill 12 16,WDID,Status,SSO 01 17,PLSD 01 17,No Spill 01 17,SSO 02 17,PLSD 02 17,No Spill 02 17,SSO 03 17,PLSD 03 17,No Spill 03 17,SSO 04 17,PLSD 04 17,No Spill 04 17,SSO 05 17,PLSD 05 17,No Spill 05 17,SSO 06 17,PLSD 06 17,No Spill 06 17,SSO 07 17,PLSD 07 17,No Spill 07 17,SSO 08 17,PLSD 08 17,No Spill 08 17,SSO 09 17,PLSD 09 17,No Spill 09 17,SSO 10 17,PLSD 10 17,No Spill 10 17,SSO 11 17,PLSD 11 17,No Spill 11 17,SSO 12 17,PLSD 12 17,No Spill 12 17,Unnamed: 326
179,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,3,0,No,0,0,Yes,2,0,No,1,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2,0,No,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,2,0,No,1,0,No,1,0,No,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,1,0,No,2,0,No,1,0,Yes,0,0,Yes,2,0,No,1,0,No,0,0,Yes,0,0,Yes,1,0,No,1,0,No,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2SSO10225,Active,2,0,No,1,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
180,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,2,0,No,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,2SSO10226,Active,0,0,Yes,0,0,Yes,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
181,3,0,No,2,0,No,0,0,Yes,1,0,No,1,0,No,0,0,Yes,0,0,Yes,2,0,No,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,1,0,No,2,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,1,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,2,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,1,0,No,2,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2,0,No,1,0,No,0,0,Yes,0,0,Yes,2,0,No,2,0,No,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,2SSO10227,Active,1,0,No,1,0,No,1,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
182,3,0,No,5,0,No,3,0,No,1,0,No,0,0,Yes,1,0,No,2,0,No,1,0,No,0,0,Yes,2,0,No,2,0,No,2,0,No,1,0,No,0,0,Yes,2,0,No,1,0,No,1,0,No,2,0,No,0,0,Yes,0,0,Yes,0,0,Yes,3,0,No,1,0,No,0,0,Yes,1,0,No,1,0,No,2,0,No,2,0,No,1,0,No,0,0,Yes,2,0,No,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,3,0,No,4,0,No,0,0,Yes,0,0,Yes,3,0,No,3,0,No,2,0,No,1,0,No,0,0,Yes,2,0,No,0,0,Yes,2,0,No,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,4,0,No,3,0,No,0,0,Yes,1,0,No,0,0,Yes,2,0,No,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,2,0,No,3,0,No,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,2,0,No,0,0,Yes,2,0,No,2,0,No,1,0,No,0,0,Yes,0,0,Yes,1,0,No,2,0,No,0,0,No,0,0,Yes,4,0,No,1,0,No,1,0,No,1,0,No,0,0,Yes,1,0,No,2SSO10228,Active,1,0,No,2,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
183,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2SSO10229,Active,0,0,Yes,0,0,Yes,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
184,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2,0,No,1,0,No,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2SSO10230,Active,0,0,Yes,0,0,Yes,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
185,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2SSO10665,Active,0,0,Yes,0,0,Yes,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
186,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,2SSO10881,Historical,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
187,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2SSO11174,Active,0,0,Yes,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
188,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,No,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,1,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,1,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2SSO11198,Active,1,0,No,0,0,Yes,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
189,26,0,No,23,0,No,15,0,No,2,0,No,8,0,No,4,0,No,5,0,No,0,0,Yes,0,0,Yes,4,0,No,4,0,No,3,0,No,4,0,No,4,0,No,6,0,No,9,0,No,10,0,No,16,0,No,16,0,No,12,0,No,11,0,No,7,0,No,14,0,No,11,0,No,17,0,No,16,0,No,22,0,No,10,0,No,6,0,No,5,0,No,9,0,No,10,0,No,4,0,No,13,0,No,7,0,No,10,0,No,13,0,No,4,0,No,18,0,No,13,0,No,7,0,No,12,0,No,9,0,No,6,0,No,9,0,No,9,0,No,7,0,No,10,0,No,4,0,No,6,0,No,12,0,No,9,0,No,9,0,No,9,0,No,10,0,No,3,0,No,5,0,No,8,0,No,10,0,No,6,0,No,5,0,No,10,0,No,16,0,No,6,0,No,8,0,No,8,0,No,5,0,No,7,0,No,4,0,No,9,0,No,15,0,No,15,0,No,8,0,No,18,0,No,7,0,No,5,0,No,6,0,No,5,0,No,5,0,No,6,0,No,9,0,No,7,0,No,9,0,No,8,0,No,13,0,No,12,0,No,4,0,No,6,0,No,5,0,No,4,0,No,8,0,No,3,0,No,7,0,No,8,0,No,9,0,No,10,0,No,2SSO11204,Active,12,0,No,3,0,No,4,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
190,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,2SSO11208,Historical,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
191,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2SSO11410,Active,0,0,No,1,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
192,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,0,0,Yes,2SSO11411,Active,0,0,Yes,0,0,Yes,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,
